"HH_ID","Total_Hours","Num_Persons","Midpoint_Income","Average_Hourly_Wage"
115288,40,1,42499.5,22.13515625
115291,32,1,17499.5,11.3929036458333
115687,85,2,224999.5,55.1469362745098
115885,65,1,124999.5,40.0639423076923
116123,998,1,17499.5,0.365303523714095
116334,50,1,124999.5,52.083125
116545,5,1,62499.5,260.414583333333
116549,8,1,29999.5,78.1236979166667
116566,80,2,124999.5,32.551953125
117524,90,2,174999.5,40.5091435185185
117886,50,1,62499.5,26.0414583333333
201224,50,1,87499.5,36.458125
202374,16,1,17499.5,22.7858072916667
203809,110,2,174999.5,33.1438446969697
204033,64,2,87499.5,28.48291015625
205090,40,1,124999.5,65.10390625
205748,53,2,17499.5,6.87873427672956
206472,35,1,62499.5,37.2020833333333
206580,40,1,224999.5,117.187239583333
207638,40,1,87499.5,45.57265625
208991,40,1,87499.5,45.57265625
209034,40,1,62499.5,32.5518229166667
209717,40,1,124999.5,65.10390625
210100,1003,2,NA,NA
211852,40,1,42499.5,22.13515625
214275,56,2,42499.5,15.8108258928571
214734,55,2,NA,NA
215395,10,1,87499.5,182.290625
216558,100,2,174999.5,36.4582291666667
221512,15,1,62499.5,86.8048611111111
225506,40,1,42499.5,22.13515625
227519,45,1,250000,115.740740740741
228930,80,2,174999.5,45.5727864583333
229797,80,2,174999.5,45.5727864583333
232509,50,1,124999.5,52.083125
233010,120,3,174999.5,30.3818576388889
234710,100,2,62499.5,13.0207291666667
235096,85,2,87499.5,21.4459558823529
238714,140,3,250000,37.2023809523809
239613,70,2,224999.5,66.9641369047619
242805,10,1,29999.5,62.4989583333333
243706,20,1,17499.5,18.2286458333333
244669,20,1,42499.5,44.2703125
244868,40,1,17499.5,9.11432291666667
246516,70,2,NA,NA
247427,70,2,124999.5,37.2022321428571
248719,55,1,124999.5,47.3482954545455
249938,120,3,62499.5,10.8506076388889
249976,40,1,87499.5,45.57265625
250170,50,2,87499.5,36.458125
251551,43,2,NA,NA
252058,24,1,29999.5,26.0412326388889
253604,70,2,87499.5,26.0415178571429
254291,998,1,29999.5,0.62624206746827
254951,214,3,124999.5,12.1689544392523
257454,40,1,42499.5,22.13515625
257710,50,1,42499.5,17.708125
257992,76,2,87499.5,23.9856085526316
261661,65,2,124999.5,40.0639423076923
263253,40,1,62499.5,32.5518229166667
266949,20,1,NA,NA
267201,1039,2,62499.5,1.25319818735964
267467,80,2,124999.5,32.551953125
267490,100,3,62499.5,13.0207291666667
268238,80,2,124999.5,32.551953125
273109,80,2,124999.5,32.551953125
273628,40,1,17499.5,9.11432291666667
274502,40,1,62499.5,32.5518229166667
276059,42,1,124999.5,62.0037202380952
276547,100,3,124999.5,26.0415625
277435,80,2,87499.5,22.786328125
277654,25,1,17499.5,14.5829166666667
278883,113,3,42499.5,7.83545353982301
280563,65,1,124999.5,40.0639423076923
281109,40,1,174999.5,91.1455729166667
281228,50,1,62499.5,26.0414583333333
281569,110,3,87499.5,16.571875
285000,40,1,29999.5,15.6247395833333
286783,33,1,42499.5,26.8304924242424
287513,40,1,62499.5,32.5518229166667
287759,45,1,124999.5,57.8701388888889
290426,40,1,124999.5,65.10390625
291064,80,2,124999.5,32.551953125
292017,90,2,174999.5,40.5091435185185
294216,100,2,NA,NA
296654,80,2,87499.5,22.786328125
300098,25,1,62499.5,52.0829166666667
300173,71,2,174999.5,51.3496185446009
300215,25,1,224999.5,187.499583333333
300251,45,1,42499.5,19.6756944444444
300255,105,2,42499.5,8.43244047619048
300360,72,2,174999.5,50.6364293981481
300546,40,1,224999.5,117.187239583333
300581,80,2,62499.5,16.2759114583333
300605,40,1,62499.5,32.5518229166667
300802,85,2,124999.5,30.6371323529412
300858,101,3,87499.5,18.0485767326733
300892,115,2,124999.5,22.6448369565217
300992,105,2,87499.5,17.3610119047619
301095,100,2,NA,NA
301140,25,1,NA,NA
301411,60,1,250000,86.8055555555556
301462,56,2,124999.5,46.5027901785714
301499,120,2,124999.5,21.7013020833333
301607,50,1,124999.5,52.083125
301873,90,2,250000,57.8703703703704
301936,1998,2,NA,NA
301942,40,1,17499.5,9.11432291666667
302029,65,2,124999.5,40.0639423076923
302190,998,1,NA,NA
302264,50,2,62499.5,26.0414583333333
302432,80,2,62499.5,16.2759114583333
302487,1,1,NA,NA
302569,56,2,62499.5,23.2513020833333
302580,40,1,62499.5,32.5518229166667
302591,90,2,224999.5,52.0832175925926
302607,110,2,124999.5,23.6741477272727
302882,998,1,62499.5,1.30468228122912
302924,44,2,62499.5,29.5925662878788
302993,120,3,174999.5,30.3818576388889
303023,40,1,124999.5,65.10390625
303024,50,1,124999.5,52.083125
303138,60,1,29999.5,10.4164930555556
303202,40,1,29999.5,15.6247395833333
303234,40,1,62499.5,32.5518229166667
303249,80,2,124999.5,32.551953125
303267,40,1,87499.5,45.57265625
303293,70,2,87499.5,26.0415178571429
303315,1,1,4999.5,104.15625
303329,998,1,17499.5,0.365303523714095
303401,15,1,87499.5,121.527083333333
303420,57,1,87499.5,31.9808114035088
303529,80,2,87499.5,22.786328125
303660,12,1,NA,NA
303691,36,1,87499.5,50.6362847222222
303701,85,2,250000,61.2745098039216
303888,50,1,87499.5,36.458125
303895,26,1,17499.5,14.0220352564103
303971,90,2,124999.5,28.9350694444444
304006,60,1,124999.5,43.4026041666667
304178,40,1,17499.5,9.11432291666667
304282,45,1,NA,NA
304313,40,1,29999.5,15.6247395833333
304315,55,1,174999.5,66.2876893939394
304487,40,1,87499.5,45.57265625
304564,40,1,87499.5,45.57265625
304587,40,1,124999.5,65.10390625
304604,60,2,NA,NA
304719,40,1,62499.5,32.5518229166667
304752,40,1,62499.5,32.5518229166667
304759,70,2,62499.5,18.6010416666667
304936,30,1,62499.5,43.4024305555556
304963,998,1,29999.5,0.62624206746827
305389,40,1,42499.5,22.13515625
305428,40,1,174999.5,91.1455729166667
305456,80,2,NA,NA
305469,88,3,224999.5,53.2669270833333
305517,50,1,62499.5,26.0414583333333
305649,35,1,124999.5,74.4044642857143
305670,50,1,62499.5,26.0414583333333
305679,90,2,174999.5,40.5091435185185
305781,60,1,124999.5,43.4026041666667
305874,75,2,124999.5,34.7220833333333
305949,6,1,17499.5,60.7621527777778
305957,55,1,62499.5,23.674053030303
306012,89,2,62499.5,14.6300327715356
306043,50,1,124999.5,52.083125
306238,40,1,62499.5,32.5518229166667
306266,80,2,224999.5,58.5936197916667
306318,75,2,87499.5,24.3054166666667
306365,75,2,42499.5,11.8054166666667
306388,15,1,87499.5,121.527083333333
306509,140,3,224999.5,33.482068452381
306532,93,2,124999.5,28.0016801075269
306563,30,1,17499.5,12.1524305555556
306611,40,1,42499.5,22.13515625
306839,70,2,87499.5,26.0415178571429
306902,35,1,NA,NA
306952,40,1,87499.5,45.57265625
307005,110,3,87499.5,16.571875
307120,50,1,62499.5,26.0414583333333
307385,80,2,124999.5,32.551953125
307526,60,1,NA,NA
307607,170,4,224999.5,27.5734681372549
307813,40,1,62499.5,32.5518229166667
307833,50,1,42499.5,17.708125
307846,64,2,124999.5,40.68994140625
307882,87,3,42499.5,10.1770833333333
307972,94,3,87499.5,19.3926196808511
308059,30,1,17499.5,12.1524305555556
308218,60,1,NA,NA
308263,55,2,124999.5,47.3482954545455
308277,35,1,29999.5,17.8568452380952
308284,100,2,174999.5,36.4582291666667
308302,80,2,250000,65.1041666666667
308392,80,2,87499.5,22.786328125
308510,80,2,87499.5,22.786328125
308520,95,2,124999.5,27.4121710526316
308575,45,2,124999.5,57.8701388888889
308585,98,3,124999.5,26.5730229591837
308664,92,2,62499.5,14.1529664855072
308751,100,2,29999.5,6.24989583333333
308837,80,2,62499.5,16.2759114583333
308866,15,1,62499.5,86.8048611111111
308874,50,2,87499.5,36.458125
308956,40,1,87499.5,45.57265625
309045,20,1,17499.5,18.2286458333333
309093,15,1,174999.5,243.054861111111
309184,40,1,87499.5,45.57265625
309196,65,2,124999.5,40.0639423076923
309204,90,2,174999.5,40.5091435185185
309326,75,2,87499.5,24.3054166666667
309418,60,1,87499.5,30.3817708333333
309497,76,2,174999.5,47.9713541666667
309573,12,1,42499.5,73.7838541666667
309725,75,2,62499.5,17.3609722222222
309748,30,1,29999.5,20.8329861111111
309767,80,2,NA,NA
309832,130,3,174999.5,28.0447916666667
309886,40,1,62499.5,32.5518229166667
309907,90,2,87499.5,20.2545138888889
309927,72,2,62499.5,18.0843460648148
309973,75,2,87499.5,24.3054166666667
310247,90,2,124999.5,28.9350694444444
310308,80,2,NA,NA
310390,40,1,42499.5,22.13515625
310479,95,2,224999.5,49.3419956140351
310635,64,2,62499.5,20.3448893229167
310649,80,2,124999.5,32.551953125
310651,28,1,29999.5,22.321056547619
310689,40,1,174999.5,91.1455729166667
310777,60,2,124999.5,43.4026041666667
310869,998,1,124999.5,2.609375
310960,35,1,29999.5,17.8568452380952
310996,80,2,124999.5,32.551953125
311087,40,1,124999.5,65.10390625
311115,35,1,17499.5,10.416369047619
311234,43,1,17499.5,8.47843992248062
311282,85,2,124999.5,30.6371323529412
311323,80,2,174999.5,45.5727864583333
311365,80,2,174999.5,45.5727864583333
311395,15,1,87499.5,121.527083333333
311400,40,1,42499.5,22.13515625
311577,50,1,174999.5,72.9164583333333
311613,80,2,174999.5,45.5727864583333
311707,85,2,124999.5,30.6371323529412
311748,50,1,174999.5,72.9164583333333
311780,40,1,87499.5,45.57265625
311808,40,1,62499.5,32.5518229166667
311992,20,1,62499.5,65.1036458333333
311994,50,2,87499.5,36.458125
312168,70,2,62499.5,18.6010416666667
312172,50,1,224999.5,93.7497916666667
312403,80,2,NA,NA
312498,35,1,174999.5,104.166369047619
312527,40,2,42499.5,22.13515625
312536,30,1,42499.5,29.5135416666667
312672,40,1,87499.5,45.57265625
312727,88,2,124999.5,29.5926846590909
312867,80,2,42499.5,11.067578125
312914,90,2,87499.5,20.2545138888889
312954,135,3,62499.5,9.64498456790123
312977,95,3,87499.5,19.1884868421053
312982,45,1,87499.5,40.5090277777778
313014,60,1,124999.5,43.4026041666667
313045,77,2,87499.5,23.6741071428571
313096,65,2,124999.5,40.0639423076923
313158,40,1,NA,NA
313400,92,3,174999.5,39.6285099637681
313420,15,1,250000,347.222222222222
313446,90,2,124999.5,28.9350694444444
313463,32,1,62499.5,40.6897786458333
313532,80,2,124999.5,32.551953125
313566,40,1,42499.5,22.13515625
313575,38,1,62499.5,34.265076754386
313591,14,1,42499.5,63.2433035714286
313604,40,1,174999.5,91.1455729166667
313689,100,2,NA,NA
313746,40,1,87499.5,45.57265625
313799,130,2,87499.5,14.0223557692308
314083,76,2,124999.5,34.2652138157895
314099,95,2,87499.5,19.1884868421053
314123,40,1,62499.5,32.5518229166667
314127,40,1,17499.5,9.11432291666667
314144,1058,4,62499.5,1.2306927378702
314178,75,2,42499.5,11.8054166666667
314246,75,2,174999.5,48.6109722222222
314347,38,1,29999.5,16.4470942982456
314382,1996,2,NA,NA
314433,40,1,42499.5,22.13515625
314532,24,1,87499.5,75.9544270833333
314578,40,1,124999.5,65.10390625
314788,68,2,NA,NA
314795,40,1,42499.5,22.13515625
314877,80,2,124999.5,32.551953125
315067,48,1,250000,108.506944444444
315180,45,1,62499.5,28.9349537037037
315509,80,2,224999.5,58.5936197916667
315512,80,2,124999.5,32.551953125
315836,80,2,124999.5,32.551953125
315857,1043,2,62499.5,1.24839205816555
315906,49,2,124999.5,53.1460459183673
315915,80,1,62499.5,16.2759114583333
315920,60,1,174999.5,60.7637152777778
316151,37,1,87499.5,49.2677364864865
316176,70,2,62499.5,18.6010416666667
316286,95,3,124999.5,27.4121710526316
316464,40,1,4999.5,2.60390625
316597,90,2,124999.5,28.9350694444444
316654,30,1,17499.5,12.1524305555556
316755,40,1,87499.5,45.57265625
316798,72,2,250000,72.337962962963
316853,40,1,29999.5,15.6247395833333
316881,40,1,124999.5,65.10390625
316885,80,2,87499.5,22.786328125
316891,25,1,4999.5,4.16625
316909,48,1,124999.5,54.2532552083333
317016,90,2,174999.5,40.5091435185185
317022,80,2,62499.5,16.2759114583333
317037,50,1,124999.5,52.083125
317117,40,1,29999.5,15.6247395833333
317134,40,1,42499.5,22.13515625
317136,40,1,87499.5,45.57265625
317185,30,1,4999.5,3.471875
317248,50,1,62499.5,26.0414583333333
317337,40,1,62499.5,32.5518229166667
317357,20,1,42499.5,44.2703125
317444,80,2,174999.5,45.5727864583333
317502,49,2,62499.5,26.5729166666667
317605,4,1,29999.5,156.247395833333
317648,50,1,87499.5,36.458125
317835,55,2,124999.5,47.3482954545455
318014,88,2,124999.5,29.5926846590909
318033,60,2,124999.5,43.4026041666667
318047,45,1,42499.5,19.6756944444444
318052,1035,2,124999.5,2.51609299516908
318073,100,2,87499.5,18.2290625
318240,110,2,87499.5,16.571875
318408,30,1,87499.5,60.7635416666667
318444,32,1,62499.5,40.6897786458333
318470,78,2,87499.5,23.3705929487179
318478,40,1,124999.5,65.10390625
318492,30,1,62499.5,43.4024305555556
318499,90,2,NA,NA
318517,60,1,250000,86.8055555555556
318541,70,2,87499.5,26.0415178571429
318592,40,1,NA,NA
318643,35,1,62499.5,37.2020833333333
318684,40,1,174999.5,91.1455729166667
318701,40,1,62499.5,32.5518229166667
318791,40,1,87499.5,45.57265625
318817,40,1,NA,NA
318837,120,2,124999.5,21.7013020833333
318950,64,2,87499.5,28.48291015625
318994,60,1,124999.5,43.4026041666667
319007,80,2,124999.5,32.551953125
319119,40,1,62499.5,32.5518229166667
319146,95,2,174999.5,38.3770833333333
319206,80,2,124999.5,32.551953125
319381,55,2,62499.5,23.674053030303
319431,40,1,174999.5,91.1455729166667
319551,10,1,62499.5,130.207291666667
319578,75,2,87499.5,24.3054166666667
319715,45,1,124999.5,57.8701388888889
320012,40,1,124999.5,65.10390625
320066,40,1,62499.5,32.5518229166667
320517,75,2,87499.5,24.3054166666667
320653,40,1,62499.5,32.5518229166667
320715,40,1,124999.5,65.10390625
320726,18,1,42499.5,49.1892361111111
320767,38,1,87499.5,47.9712171052632
320801,40,1,29999.5,15.6247395833333
320856,79,2,174999.5,46.1496571729958
320941,90,2,224999.5,52.0832175925926
321023,40,1,42499.5,22.13515625
321079,38,1,87499.5,47.9712171052632
321213,50,1,250000,104.166666666667
321214,40,1,62499.5,32.5518229166667
321366,80,2,87499.5,22.786328125
321429,15,2,174999.5,243.054861111111
321500,85,2,124999.5,30.6371323529412
321507,90,2,87499.5,20.2545138888889
321544,35,1,124999.5,74.4044642857143
321600,55,1,62499.5,23.674053030303
321634,40,1,62499.5,32.5518229166667
321911,36,1,42499.5,24.5946180555556
321941,1038,2,42499.5,0.85299253371869
322080,85,3,87499.5,21.4459558823529
322100,83,2,87499.5,21.9627259036145
322111,45,1,124999.5,57.8701388888889
322156,40,1,124999.5,65.10390625
322201,92,3,124999.5,28.3060461956522
322251,50,1,62499.5,26.0414583333333
322316,70,2,87499.5,26.0415178571429
322364,40,1,87499.5,45.57265625
322382,80,2,62499.5,16.2759114583333
322393,140,2,124999.5,18.6011160714286
322437,55,2,62499.5,23.674053030303
322451,80,2,174999.5,45.5727864583333
322502,120,3,87499.5,15.1908854166667
322526,7,1,87499.5,260.415178571429
322529,40,1,124999.5,65.10390625
322562,35,1,62499.5,37.2020833333333
322589,79,3,124999.5,32.964003164557
322638,80,2,250000,65.1041666666667
322744,40,1,42499.5,22.13515625
322748,44,1,62499.5,29.5925662878788
322825,85,2,87499.5,21.4459558823529
322839,40,1,87499.5,45.57265625
322890,20,1,250000,260.416666666667
322904,60,1,124999.5,43.4026041666667
322933,100,2,250000,52.0833333333333
322995,24,1,29999.5,26.0412326388889
323153,45,1,62499.5,28.9349537037037
323246,40,1,NA,NA
323442,40,1,62499.5,32.5518229166667
323447,998,1,42499.5,0.887180611222445
323541,1,1,42499.5,885.40625
323626,115,3,124999.5,22.6448369565217
323661,40,1,42499.5,22.13515625
323875,40,1,87499.5,45.57265625
324032,90,2,NA,NA
324286,135,3,124999.5,19.2900462962963
324443,40,1,62499.5,32.5518229166667
324477,50,1,250000,104.166666666667
324484,25,1,NA,NA
324561,32,1,62499.5,40.6897786458333
324616,90,2,174999.5,40.5091435185185
324681,80,2,NA,NA
324733,40,1,250000,130.208333333333
324762,80,2,42499.5,11.067578125
324883,36,2,42499.5,24.5946180555556
324895,12,1,NA,NA
324907,65,2,87499.5,28.0447115384615
324913,72,2,250000,72.337962962963
324932,40,1,62499.5,32.5518229166667
324944,70,2,224999.5,66.9641369047619
324985,40,1,124999.5,65.10390625
325034,40,1,NA,NA
325111,80,2,124999.5,32.551953125
325160,80,2,124999.5,32.551953125
325338,80,2,224999.5,58.5936197916667
325443,90,2,224999.5,52.0832175925926
325469,55,1,124999.5,47.3482954545455
325510,100,2,250000,52.0833333333333
325555,72,3,62499.5,18.0843460648148
325774,100,2,124999.5,26.0415625
325792,40,1,62499.5,32.5518229166667
325866,50,1,42499.5,17.708125
325871,80,2,124999.5,32.551953125
325966,44,1,62499.5,29.5925662878788
325989,50,2,42499.5,17.708125
326078,50,1,250000,104.166666666667
326088,7,1,87499.5,260.415178571429
326155,40,1,29999.5,15.6247395833333
326421,40,1,124999.5,65.10390625
326486,55,1,174999.5,66.2876893939394
326514,15,1,17499.5,24.3048611111111
326586,35,1,87499.5,52.0830357142857
326680,95,2,174999.5,38.3770833333333
326708,40,1,87499.5,45.57265625
326985,75,2,124999.5,34.7220833333333
326998,120,3,NA,NA
327029,40,1,87499.5,45.57265625
327045,40,1,124999.5,65.10390625
327099,70,1,62499.5,18.6010416666667
327139,40,1,62499.5,32.5518229166667
327160,90,2,174999.5,40.5091435185185
327163,1039,2,NA,NA
327189,35,1,17499.5,10.416369047619
327379,40,1,87499.5,45.57265625
327412,66,2,NA,NA
327544,40,1,87499.5,45.57265625
327550,40,1,87499.5,45.57265625
327698,48,1,29999.5,13.0206163194444
327722,108,3,174999.5,33.7576195987654
327783,45,1,174999.5,81.018287037037
327788,40,1,62499.5,32.5518229166667
327827,40,1,87499.5,45.57265625
327842,40,1,62499.5,32.5518229166667
327843,150,4,62499.5,8.68048611111111
327877,80,2,124999.5,32.551953125
327951,60,2,124999.5,43.4026041666667
327994,1043,2,42499.5,0.848903403643336
328286,160,4,124999.5,16.2759765625
328296,100,2,250000,52.0833333333333
328332,60,2,87499.5,30.3817708333333
328430,40,1,62499.5,32.5518229166667
328453,36,2,87499.5,50.6362847222222
328559,40,1,87499.5,45.57265625
328683,130,3,NA,NA
328699,80,2,62499.5,16.2759114583333
328826,90,2,174999.5,40.5091435185185
328919,40,1,62499.5,32.5518229166667
328944,40,1,87499.5,45.57265625
328957,80,2,42499.5,11.067578125
329017,80,2,174999.5,45.5727864583333
329042,100,2,124999.5,26.0415625
329145,15,1,17499.5,24.3048611111111
329147,50,1,124999.5,52.083125
329269,40,1,124999.5,65.10390625
329585,100,2,174999.5,36.4582291666667
329666,40,1,17499.5,9.11432291666667
329689,40,1,17499.5,9.11432291666667
329709,77,2,124999.5,33.820211038961
329718,95,2,124999.5,27.4121710526316
329780,75,2,124999.5,34.7220833333333
329956,40,1,62499.5,32.5518229166667
330002,115,2,87499.5,15.8513586956522
330029,185,5,NA,NA
330066,110,2,224999.5,42.6135416666667
330136,63,2,87499.5,28.9350198412698
330138,127,4,NA,NA
330173,40,1,174999.5,91.1455729166667
330179,998,1,NA,NA
330210,40,1,62499.5,32.5518229166667
330386,64,2,174999.5,56.9659830729167
330415,40,1,224999.5,117.187239583333
330502,40,1,124999.5,65.10390625
330509,78,2,62499.5,16.6932425213675
330541,95,3,87499.5,19.1884868421053
330547,98,3,NA,NA
330573,95,2,124999.5,27.4121710526316
330617,52,2,42499.5,17.0270432692308
330672,43,1,42499.5,20.5908430232558
330818,50,1,62499.5,26.0414583333333
330949,37,1,87499.5,49.2677364864865
330966,85,2,250000,61.2745098039216
330967,36,1,124999.5,72.3376736111111
331093,46,1,124999.5,56.6120923913044
331127,20,1,42499.5,44.2703125
331213,85,2,124999.5,30.6371323529412
331250,60,1,250000,86.8055555555556
331387,60,2,124999.5,43.4026041666667
331391,20,1,87499.5,91.1453125
331419,98,3,87499.5,18.6010841836735
331544,60,2,124999.5,43.4026041666667
331655,40,1,87499.5,45.57265625
331689,35,1,4999.5,2.97589285714286
331747,80,2,174999.5,45.5727864583333
331751,60,2,87499.5,30.3817708333333
331764,120,3,87499.5,15.1908854166667
331824,58,2,62499.5,22.449533045977
331947,40,1,87499.5,45.57265625
331988,50,1,174999.5,72.9164583333333
332023,998,1,174999.5,3.6531291750167
332322,90,2,124999.5,28.9350694444444
332387,120,3,174999.5,30.3818576388889
332460,40,1,42499.5,22.13515625
332599,85,2,174999.5,42.8920343137255
332650,40,1,124999.5,65.10390625
332678,38,1,174999.5,95.9427083333333
332692,50,1,87499.5,36.458125
332717,123,5,124999.5,21.1720020325203
332752,97,2,124999.5,26.8469716494845
332764,37,1,174999.5,98.5357545045045
332947,95,2,42499.5,9.32006578947368
332950,80,2,250000,65.1041666666667
333028,65,2,87499.5,28.0447115384615
333065,80,2,250000,65.1041666666667
333160,50,1,87499.5,36.458125
333216,79,2,124999.5,32.964003164557
333227,80,2,124999.5,32.551953125
333369,40,1,87499.5,45.57265625
333435,60,1,42499.5,14.7567708333333
333439,1038,2,62499.5,1.254405507386
333497,1039,2,87499.5,1.75448147256978
333560,50,1,124999.5,52.083125
333772,60,1,250000,86.8055555555556
333788,78,2,87499.5,23.3705929487179
333908,70,2,87499.5,26.0415178571429
333969,40,1,62499.5,32.5518229166667
333994,40,1,87499.5,45.57265625
334204,85,2,124999.5,30.6371323529412
334296,40,1,29999.5,15.6247395833333
334320,40,1,124999.5,65.10390625
334423,93,2,250000,56.0035842293907
334443,30,1,29999.5,20.8329861111111
334444,130,2,250000,40.0641025641026
334520,135,3,87499.5,13.5030092592593
334557,70,2,174999.5,52.0831845238095
334718,95,2,87499.5,19.1884868421053
334831,80,2,124999.5,32.551953125
335073,60,1,124999.5,43.4026041666667
335217,15,1,62499.5,86.8048611111111
335235,60,1,124999.5,43.4026041666667
335258,70,2,62499.5,18.6010416666667
335303,40,1,62499.5,32.5518229166667
335328,70,1,124999.5,37.2022321428571
335347,40,1,62499.5,32.5518229166667
335448,78,2,124999.5,33.3866185897436
335561,85,2,174999.5,42.8920343137255
335669,70,2,224999.5,66.9641369047619
335836,147,3,87499.5,12.4007227891156
335919,100,2,124999.5,26.0415625
336047,40,1,124999.5,65.10390625
336071,18,1,NA,NA
336077,80,2,87499.5,22.786328125
336087,50,1,NA,NA
336095,50,1,62499.5,26.0414583333333
336141,70,2,87499.5,26.0415178571429
336176,65,2,42499.5,13.6216346153846
336273,80,2,174999.5,45.5727864583333
336293,999,1,87499.5,1.82473098098098
336296,80,2,124999.5,32.551953125
336492,73,3,124999.5,35.6733732876712
336497,30,1,124999.5,86.8052083333333
336504,30,1,62499.5,43.4024305555556
336568,80,2,174999.5,45.5727864583333
336718,38,1,42499.5,23.3001644736842
337126,40,1,62499.5,32.5518229166667
337170,20,1,17499.5,18.2286458333333
337316,80,2,124999.5,32.551953125
337366,70,2,124999.5,37.2022321428571
337455,106,2,174999.5,34.3945558176101
337552,30,1,17499.5,12.1524305555556
337567,36,2,87499.5,50.6362847222222
337664,15,1,87499.5,121.527083333333
337699,77,2,124999.5,33.820211038961
337804,80,2,124999.5,32.551953125
337824,40,1,42499.5,22.13515625
337825,70,2,174999.5,52.0831845238095
337862,50,1,124999.5,52.083125
337933,75,1,124999.5,34.7220833333333
337934,80,2,224999.5,58.5936197916667
337982,110,3,250000,47.3484848484849
338172,43,2,62499.5,30.280765503876
